"type","horse","CO2"
"Car",510,550.27
"Car",510,343.88
"Car",552,511.93
"Car",552,296.63
"Car",565,603.49
"Car",565,353.09
"Car",420,551.4037
"Car",420,333.29
"Car",430,529.36
"Car",430,306.95
"Car",568,536.18
"Car",568,309.22
"Car",211,292
"Car",211,199
"Car",211,308
"Car",211,374
"Car",211,365
"Car",211,323
"Car",211,203
"Car",211,368
"Car",211,363
"Car",211,301
"Car",211,314
"Car",211,200
"SUV",211,309
"SUV",211,338
"SUV",211,332
"SUV",211,282
"SUV",211,189
"SUV",333,374
"SUV",333,393
"SUV",333,233
"SUV",333,362
"SUV",333,379
"SUV",333,488
"SUV",333,448
"SUV",333,363
"SUV",333,391
"SUV",333,236
"Car",211,422
"Car",211,343
"Car",211,429
"Car",211,358
"Car",211,219
"SUV",240,297
"SUV",240,297
"SUV",240,297
"SUV",240,329
"SUV",240,329
"SUV",240,329
"SUV",240,409
"SUV",240,409
"SUV",240,409
"SUV",240,358
"SUV",240,358
"SUV",240,358
"SUV",240,309
"SUV",240,309
"SUV",240,309
"SUV",240,194
"SUV",240,194
"SUV",240,194
"SUV",240,333
"SUV",240,333
"SUV",240,333
"SUV",272,387
"SUV",272,384
"SUV",272,475
"SUV",272,388
"SUV",272,464
"SUV",272,396
"SUV",272,251
"Truck",211,358
"Truck",211,230
"SUV",211,229
"SUV",211,357
"SUV",240,417
"SUV",240,417
"SUV",240,417
"SUV",240,361
"SUV",240,361
"SUV",240,361
"SUV",240,358
"SUV",240,358
"SUV",240,358
"SUV",240,356
"SUV",240,356
"SUV",240,356
"SUV",240,231
"SUV",240,231
"SUV",240,231
"SUV",240,351
"SUV",240,351
"SUV",240,351
"SUV",240,340
"SUV",240,340
"SUV",240,340
"Truck",211,323
"Truck",211,324
"Truck",211,382
"Truck",211,292
"Truck",211,223
"Truck",272,458
"Truck",272,295
"Truck",240,402
"Truck",240,402
"Truck",240,402
"Truck",240,502
"Truck",240,502
"Truck",240,502
"Truck",240,480
"Truck",240,480
"Truck",240,480
"Truck",240,446
"Truck",240,446
"Truck",240,446
"Truck",240,260
"Truck",240,260
"Truck",240,260
"Truck",240,432
"Truck",240,432
"Truck",240,432
"Truck",240,492
"Truck",240,492
"Truck",240,492
"Truck",240,389
"Truck",240,389
"Truck",240,389
"Truck",240,422
"Truck",240,422
"Truck",240,422
"Truck",240,248
"Truck",240,248
"Truck",240,248
"Car",525,645
"Car",525,387
"Car",525,479
"Car",525,690
"Car",525,746
"Car",430,737
"Car",430,654
"Car",430,372
"Car",430,460
"Car",430,727
"Car",430,649
"Car",430,355
"Car",430,439
"Car",430,703
"Car",430,728
"Car",525,577
"Car",525,312
"Car",525,425
"Car",525,579
"Car",525,652
"Car",525,577
"Car",525,307
"Car",525,421
"Car",525,640
"Car",525,592
"Car",450,541
"Car",450,483
"Car",450,414
"Car",450,463
"Car",450,307
"Car",450,466
"Car",450,296
"Car",450,395
"Car",450,548
"Car",450,517
"Car",560,467
"Car",560,474
"Car",560,378
"Car",560,572
"Car",560,253
"Car",560,532
"Car",560,286
"Car",560,422
"Car",560,658
"Car",560,526
"SUV",333,396
"SUV",333,248
"SUV",333,356
"SUV",333,448
"SUV",333,455
"SUV",333,376
"SUV",333,460
"SUV",333,472
"SUV",333,401
"SUV",333,256
"SUV",333,443
"SUV",333,266
"SUV",333,363
"SUV",333,457
"SUV",333,460
"Car",420,484
"Car",420,276
"Car",420,375
"Car",420,531
"Car",420,438
"Car",420,491
"Car",420,522
"Car",420,352
"Car",420,424
"Car",420,247
"Car",420,424
"Car",420,241
"Car",211,366
"Car",211,383
"Car",211,210
"Car",211,311
"Car",211,312
"Car",211,365
"Car",211,381
"Car",211,306
"Car",211,204
"Car",211,294
"Car",520,555
"Car",520,624
"Car",520,429
"Car",520,278
"Car",520,511
"Car",520,526
"Car",520,599
"Car",520,384
"Car",520,462
"Car",520,263
"Car",616,510
"Car",616,625
"Car",616,648
"Car",616,617
"Car",616,333
"Car",616,576
"Car",616,485
"Car",616,314
"Car",616,589
"Car",616,303
"Car",616,479
"Car",616,652
"Car",616,703
"Car",616,592
"Car",616,298
"Car",616,465
"Car",505,690.22275
"Car",505,408.10588
"Car",505,558.76453
"Car",505,777.17787
"Car",505,776.52874
"SUV",181,290.8360369
"SUV",181,172.298865
"SUV",181,298
"SUV",181,171.77
"SUV",181,291.76
"SUV",181,180.39
"SUV",181,305.08
"SUV",181,180.24
"SUV",181,320.03
"SUV",181,186.01
"SUV",181,191.34
"SUV",181,326.22
"SUV",240,292.05
"SUV",240,312.03
"SUV",240,189.51
"SUV",240,291.04
"SUV",240,186.34
"SUV",240,304.85
"SUV",240,308.62
"SUV",240,202.86
"SUV",240,335.65
"SUV",240,205.61
"SUV",240,313.69
"SUV",240,323.97
"SUV",240,201.71
"SUV",181,291.87
"SUV",181,173.83
"SUV",181,289.964953
"SUV",181,169.320866
"SUV",181,315.57
"SUV",181,180.35
"SUV",181,299.04
"SUV",181,180.32
"SUV",181,311.58
"SUV",181,178.96
"SUV",181,298.21
"SUV",181,181.35
"SUV",181,184.3283971
"SUV",181,309.8485824
"Car",183,241.11
"Car",183,241.11
"Car",183,241.11
"Car",183,241.11
"Car",183,159.21
"Car",183,159.21
"Car",183,159.21
"Car",183,159.21
"Car",183,247.97
"Car",183,247.97
"Car",183,247.97
"Car",183,247.97
"Car",183,154.67
"Car",183,154.67
"Car",183,154.67
"Car",183,154.67
"Car",183,240.2
"Car",183,240.2
"Car",183,240.2
"Car",183,240.2
"Car",183,158.15
"Car",183,158.15
"Car",183,158.15
"Car",183,158.15
"Car",183,156
"Car",183,156
"Car",183,156
"Car",183,156
"Car",183,250.33
"Car",183,250.33
"Car",183,250.33
"Car",183,250.33
"Car",183,165.86
"Car",183,165.86
"Car",183,165.86
"Car",183,165.86
"Car",183,247.87
"Car",183,247.87
"Car",183,247.87
"Car",183,247.87
"Car",183,169.95
"Car",183,169.95
"Car",183,169.95
"Car",183,169.95
"Car",183,253.89
"Car",183,253.89
"Car",183,253.89
"Car",183,253.89
"Car",183,173.85
"Car",183,173.85
"Car",183,173.85
"Car",183,173.85
"Car",183,255.64
"Car",183,255.64
"Car",183,255.64
"Car",183,255.64
"Car",183,267.8
"Car",183,267.8
"Car",183,267.8
"Car",183,267.8
"Car",183,176.48
"Car",183,176.48
"Car",183,176.48
"Car",183,176.48
"Car",183,166.81
"Car",183,166.81
"Car",183,166.81
"Car",183,166.81
"Car",183,248.85
"Car",183,248.85
"Car",183,248.85
"Car",183,248.85
"Car",183,165.87
"Car",183,165.87
"Car",183,165.87
"Car",183,165.87
"Car",183,249.22
"Car",183,249.22
"Car",183,249.22
"Car",183,249.22
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,246.2729224
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.0993753
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,164.9278876
"Car",183,259.42
"Car",183,259.42
"Car",183,259.42
"Car",183,259.42
"Car",183,169.94
"Car",183,169.94
"Car",183,169.94
"Car",183,169.94
"Car",240,175.1535785
"Car",240,303.5073054
"Car",240,177.07
"Car",240,296.85
"Car",240,304.09
"Car",240,172.29
"Car",240,306.77
"Car",240,173.05
"Car",241,291.7086768
"Car",241,177.2019934
"Car",241,297.9622857
"Car",241,176.5914764
"Car",241,280.54
"Car",241,183.55
"Car",241,309.77
"Car",241,176.22
"Car",241,318.7
"Car",241,188.05
"Car",241,301.14
"Car",241,177.86
"Car",241,307.51
"Car",241,182.22
"Car",240,306.26
"Car",240,179.75
"Car",240,311.44
"Car",240,178.98
"Car",240,311.84
"Car",240,188.36
"Car",240,188.64
"Car",240,313.4
"Car",241,296.84
"Car",241,185.46
"Car",241,187.14
"Car",241,298.83
"Car",241,308.56
"Car",241,182.42
"Car",241,313.29
"Car",241,184.71
"Car",240,314.06
"Car",240,187.17
"Car",240,319.25
"Car",240,191.28
"Car",240,317.31
"Car",240,192.3
"Car",240,328.68
"Car",240,194.53
"SUV",241,312.82
"SUV",241,192.89
"SUV",241,313.34
"SUV",241,193.01
"SUV",181,330.03
"SUV",181,194.06
"SUV",181,329.87
"SUV",181,193.97
"SUV",181,329.73
"SUV",181,195.29
"SUV",181,310.12
"SUV",181,197.57
"SUV",181,308.27
"SUV",181,193.74
"SUV",181,322.1380716
"SUV",181,197.1832922
"SUV",300,338.72
"SUV",300,206.08
"SUV",300,338.69
"SUV",300,209.65
"SUV",300,307.75
"SUV",300,190.88
"SUV",300,309.43
"SUV",300,189.68
"SUV",300,310.05
"SUV",300,194.75
"SUV",300,305.98
"SUV",300,335.85
"SUV",300,193.83
"SUV",300,332.07
"SUV",300,193.91
"SUV",300,352.79
"SUV",300,224.21
"SUV",300,353.7
"SUV",300,222.32
"SUV",300,213.1906215
"SUV",300,208.3904609
"SUV",300,339.265242
"SUV",300,338.8763017
"SUV",300,351.6197516
"SUV",300,211.6153969
"SUV",300,341.5732327
"SUV",300,356.0090979
"SUV",300,211.6183135
"SUV",300,355.03
"SUV",300,205.69
"SUV",300,350.09
"SUV",300,207
"SUV",300,369.66
"SUV",300,206.83
"Car",240,309.37
"Car",240,178.19
"Car",240,180.4173559
"Car",240,334.1311732
"Car",240,312.82
"Car",240,184.55
"Car",240,328.05
"Car",240,186.85
"Car",240,323.42
"Car",240,191.71
"Car",240,337.68
"Car",240,189.66
"Car",240,333.22
"Car",240,192.29
"Car",240,342.98
"Car",240,197.98
"SUV",181,318.73
"SUV",181,180.4
"SUV",181,322.16
"SUV",181,186.87
"SUV",241,173.9148006
"SUV",241,281.1368699
"SUV",241,302.62
"SUV",241,175.11
"SUV",241,284.1055776
"SUV",241,176.9809913
"SUV",241,311.03
"SUV",241,179.72
"Car",240,300.53
"Car",240,172.38
"Car",240,173.18
"Car",240,312.41
"Car",240,173.08
"Car",240,309.7
"Car",240,182.58
"Car",240,321.47
"Car",240,183.93
"SUV",241,302.74
"SUV",241,187.57
"SUV",241,319.55
"SUV",241,183.78
"SUV",241,307.18
"SUV",241,191.73
"SUV",241,321.4
"SUV",241,190.18
"Car",240,308.63
"Car",240,308.63
"Car",240,184.45
"Car",240,184.45
"Car",240,321.19
"Car",240,321.19
"Car",240,184.37
"Car",240,184.37
"Car",240,314.87
"Car",240,314.87
"Car",240,188.54
"Car",240,188.54
"Car",240,327.04
"Car",240,327.04
"Car",240,189.11
"Car",240,189.11
"SUV",300,342.41
"SUV",300,199.79
"SUV",300,342.26
"SUV",300,198.94
"SUV",300,350.84
"SUV",300,206.78
"SUV",300,356.62
"SUV",300,199.4
"SUV",300,357.41
"SUV",300,212.97
"SUV",300,332.2
"SUV",300,196.09
"SUV",300,357.8711569
"SUV",300,201.1570794
"SUV",300,328.13
"SUV",300,194.16
"SUV",300,347.07
"SUV",300,196.74
